# Source Data for Fig. 7a: independent leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
0.580,0.2,0.4773382638,0.7440789938
0.590,0.2,0.4727850158,0.7468099986
0.600,0.2,0.4682731855,0.7495049952
0.610,0.2,0.4638024377,0.7521645166
0.620,0.2,0.4593724390,0.7547890874
0.630,0.2,0.4549828581,0.7573792234
0.640,0.2,0.4506333652,0.7599354319
0.650,0.2,0.4463236326,0.7624582121
0.660,0.2,0.4420533342,0.7649480548
0.670,0.2,0.4378221460,0.7674054429
0.680,0.2,0.4336297457,0.7698308515
0.690,0.2,0.4294758131,0.7722247477
0.700,0.2,0.4253600296,0.7745875913
0.710,0.2,0.4212820787,0.7769198345
0.720,0.2,0.4172416457,0.7792219221
0.730,0.2,0.4132384179,0.7814942918
0.740,0.2,0.4092720845,0.7837373742
0.750,0.2,0.4053423364,0.7859515929
0.760,0.2,0.4014488668,0.7881373646
0.770,0.2,0.3975913706,0.7902950995
0.780,0.2,0.3937695446,0.7924252011
0.790,0.2,0.3899830875,0.7945280663
0.800,0.2,0.3862317002,0.7966040858
0.810,0.2,0.3825150853,0.7986536440
0.820,0.2,0.3788329473,0.8006771191
0.830,0.2,0.3751849928,0.8026748832
0.840,0.2,0.3715709303,0.8046473027
0.850,0.2,0.3679904701,0.8065947380
0.860,0.2,0.3644433247,0.8085175438
0.870,0.2,0.3609292083,0.8104160692
0.880,0.2,0.3574478371,0.8122906576
0.890,0.2,0.3539989293,0.8141416472
0.900,0.2,0.3505822049,0.8159693707
0.910,0.2,0.3471973860,0.8177741557
0.920,0.2,0.3438441965,0.8195563245
0.930,0.2,0.3405223624,0.8213161943
0.940,0.2,0.3372316114,0.8230540775
0.950,0.2,0.3339716732,0.8247702815
0.960,0.2,0.3307422794,0.8264651088
0.970,0.2,0.3275431637,0.8281388573
0.980,0.2,0.3243740615,0.8297918201
0.990,0.2,0.3212347101,0.8314242860
1.000,0.2,0.3181248488,0.8330365391
1.010,0.2,0.3150442188,0.8346288590
1.020,0.2,0.3119925630,0.8362015212
1.030,0.2,0.3089696266,0.8377547967
1.040,0.2,0.3059751562,0.8392889526
1.050,0.2,0.3030089006,0.8408042516
1.060,0.2,0.3000706103,0.8423009524
1.070,0.2,0.2971600378,0.8437793099
1.080,0.2,0.2942769372,0.8452395748
1.090,0.2,0.2914210648,0.8466819942
1.100,0.2,0.2885921786,0.8481068113
1.110,0.2,0.2857900382,0.8495142657
1.120,0.2,0.2830144054,0.8509045931
1.130,0.2,0.2802650436,0.8522780257
1.140,0.2,0.2775417181,0.8536347924
1.150,0.2,0.2748441960,0.8549751183
1.160,0.2,0.2721722461,0.8562992253
1.170,0.2,0.2695256391,0.8576073318
1.180,0.2,0.2669041474,0.8588996529
1.190,0.2,0.2643075454,0.8601764007
1.200,0.2,0.2617356090,0.8614377837
1.210,0.2,0.2591881159,0.8626840076
1.220,0.2,0.2566648457,0.8639152748
1.230,0.2,0.2541655797,0.8651317848
1.240,0.2,0.2516901007,0.8663337340
1.250,0.2,0.2492381936,0.8675213160
1.260,0.2,0.2468096448,0.8686947214
1.270,0.2,0.2444042424,0.8698541379
1.280,0.2,0.2420217763,0.8709997507
1.290,0.2,0.2396620379,0.8721317418
1.300,0.2,0.2373248207,0.8732502910
1.310,0.2,0.2350099193,0.8743555750
1.320,0.2,0.2327171305,0.8754477681
1.330,0.2,0.2304462523,0.8765270421
1.340,0.2,0.2281970848,0.8775935660
1.350,0.2,0.2259694293,0.8786475067
1.360,0.2,0.2237630890,0.8796890283
1.370,0.2,0.2215778687,0.8807182927
1.380,0.2,0.2194135747,0.8817354593
1.390,0.2,0.2172700149,0.8827406852
1.400,0.2,0.2151469990,0.8837341254
1.410,0.2,0.2130443380,0.8847159323
1.420,0.2,0.2109618446,0.8856862565
