# Source Data for Fig. 6a: Holevo quantity vs damping parameter
# Recomputed from the closed forms in the paper, not from the co-author's code.
gamma,alpha_sq,chi_bits
0.5480,0.20,0.2829942280
0.5500,0.20,0.2834136274
0.5520,0.20,0.2838502555
0.5540,0.20,0.2843041256
0.5560,0.20,0.2847752518
0.5580,0.20,0.2852636485
0.5600,0.20,0.2857693306
0.5620,0.20,0.2862923137
0.5640,0.20,0.2868326140
0.5660,0.20,0.2873902481
0.5680,0.20,0.2879652334
0.5700,0.20,0.2885575875
0.5720,0.20,0.2891673290
0.5740,0.20,0.2897944767
0.5760,0.20,0.2904390502
0.5780,0.20,0.2911010697
0.5800,0.20,0.2917805558
0.5820,0.20,0.2924775299
0.5840,0.20,0.2931920138
0.5860,0.20,0.2939240301
0.5880,0.20,0.2946736019
0.5900,0.20,0.2954407528
0.5920,0.20,0.2962255072
0.5940,0.20,0.2970278901
0.5960,0.20,0.2978479270
0.5980,0.20,0.2986856442
0.6000,0.20,0.2995410683
0.6020,0.20,0.3004142270
0.6040,0.20,0.3013051484
0.6060,0.20,0.3022138612
0.6080,0.20,0.3031403949
0.6100,0.20,0.3040847795
0.6120,0.20,0.3050470458
0.6140,0.20,0.3060272254
0.6160,0.20,0.3070253502
0.6180,0.20,0.3080414532
0.6200,0.20,0.3090755678
0.6220,0.20,0.3101277283
0.6240,0.20,0.3111979696
0.6260,0.20,0.3122863274
0.6280,0.20,0.3133928381
0.6300,0.20,0.3145175388
0.6320,0.20,0.3156604674
0.6340,0.20,0.3168216625
0.6360,0.20,0.3180011635
0.6380,0.20,0.3191990106
0.6400,0.20,0.3204152447
0.6420,0.20,0.3216499077
0.6440,0.20,0.3229030420
0.6460,0.20,0.3241746909
0.6480,0.20,0.3254648988
0.6500,0.20,0.3267737105
0.6520,0.20,0.3281011720
0.6540,0.20,0.3294473299
0.6560,0.20,0.3308122319
0.6580,0.20,0.3321959263
0.6600,0.20,0.3335984626
0.6620,0.20,0.3350198911
0.6640,0.20,0.3364602628
0.6660,0.20,0.3379196299
0.6680,0.20,0.3393980454
0.6700,0.20,0.3408955633
0.6720,0.20,0.3424122386
0.6740,0.20,0.3439481272
0.6760,0.20,0.3455032862
0.6780,0.20,0.3470777734
0.6800,0.20,0.3486716479
0.6820,0.20,0.3502849697
0.6840,0.20,0.3519178000
0.6860,0.20,0.3535702009
0.6880,0.20,0.3552422357
0.6900,0.20,0.3569339689
