# Source Data for Fig. 7c: burst leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
3.510,0.2,0.0246518876,0.9595463407
3.520,0.2,0.0244065973,0.9596872592
3.530,0.2,0.0241637476,0.9598267756
3.540,0.2,0.0239233143,0.9599649038
3.550,0.2,0.0236852733,0.9601016575
3.560,0.2,0.0234496009,0.9602370506
3.570,0.2,0.0232162735,0.9603710964
3.580,0.2,0.0229852677,0.9605038085
3.590,0.2,0.0227565605,0.9606352001
3.600,0.2,0.0225301289,0.9607652843
3.610,0.2,0.0223059504,0.9608940742
3.620,0.2,0.0220840025,0.9610215825
3.630,0.2,0.0218642630,0.9611478222
3.640,0.2,0.0216467099,0.9612728057
3.650,0.2,0.0214313215,0.9613965456
3.660,0.2,0.0212180763,0.9615190543
3.670,0.2,0.0210069529,0.9616403440
3.680,0.2,0.0207979303,0.9617604269
3.690,0.2,0.0205909874,0.9618793149
3.700,0.2,0.0203861037,0.9619970199
3.710,0.2,0.0201832585,0.9621135538
3.720,0.2,0.0199824318,0.9622289282
3.730,0.2,0.0197836032,0.9623431545
3.740,0.2,0.0195867531,0.9624562443
3.750,0.2,0.0193918616,0.9625682088
3.760,0.2,0.0191989094,0.9626790592
3.770,0.2,0.0190078771,0.9627888067
3.780,0.2,0.0188187455,0.9628974622
3.790,0.2,0.0186314959,0.9630050365
3.800,0.2,0.0184461094,0.9631115404
3.810,0.2,0.0182625675,0.9632169847
3.820,0.2,0.0180808520,0.9633213797
3.830,0.2,0.0179009445,0.9634247359
3.840,0.2,0.0177228271,0.9635270638
3.850,0.2,0.0175464820,0.9636283735
3.860,0.2,0.0173718916,0.9637286751
3.870,0.2,0.0171990384,0.9638279787
3.880,0.2,0.0170279051,0.9639262943
3.890,0.2,0.0168584746,0.9640236315
3.900,0.2,0.0166907300,0.9641200003
3.910,0.2,0.0165246545,0.9642154102
3.920,0.2,0.0163602314,0.9643098707
3.930,0.2,0.0161974444,0.9644033913
3.940,0.2,0.0160362771,0.9644959814
3.950,0.2,0.0158767135,0.9645876502
3.960,0.2,0.0157187376,0.9646784068
3.970,0.2,0.0155623335,0.9647682605
